City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Kapit,MY,74.32,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
125,Minas,UY,80.01,clear sky,-34.3759,-55.2377,Hotel Minas
126,Conceicao Do Araguaia,BR,75.99,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
128,Vao,NC,75.83,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
129,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
130,Tuy Hoa,VN,68.47,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
131,Airai,TL,68.79,overcast clouds,-8.9266,125.4092,Juvinal Martin
133,Ihosy,MG,70.11,overcast clouds,-22.4,46.1167,Tamana Hôtel
134,Punta Alta,AR,86.41,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
135,Manokwari,ID,81.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
139,Kaitangata,NZ,65.01,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
140,Barcelona,ES,54.0,light rain,41.3888,2.1590000000000003,Axel Hotel Barcelona
142,San Patricio,US,68.0,mist,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Alice Springs,AU,87.8,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
144,Morgan City,US,60.8,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
146,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
148,Inongo,CD,74.55,overcast clouds,-1.95,18.2667,Hotel Du Lac
150,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
152,Sibolga,ID,77.22,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
153,Lompoc,US,53.6,few clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
154,Port Alfred,ZA,68.0,broken clouds,-33.5906,26.891,The Halyards Hotel
155,Cabo San Lucas,MX,71.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Ponta Do Sol,PT,60.01,overcast clouds,32.6667,-17.1,Hotel do Campo
157,Vila Franca Do Campo,PT,63.0,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
158,Namatanai,PG,84.92,overcast clouds,-3.6667,152.4333,Namatanai Hotel
165,Dicabisagan,PH,76.35,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
166,Cabimas,VE,81.73,broken clouds,10.3883,-71.4399,ApartaHotel ROIS
170,Dingle,PH,78.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
173,Salta,AR,73.4,clear sky,-24.7859,-65.4117,Hotel Alejandro I
178,Santiago,CL,80.6,clear sky,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
179,Nizwa,OM,52.97,clear sky,22.9333,57.5333,Orient Apartments
